zone,house_hold_size,income,total_males,total_females,total_tg,highest_ed_males,highest_ed_females,highest_ed_tg,age_lt_6,age_7_to_14,age_15_to_29,age_30_to_59,age_gt_60,no_males_working,no_of_females_working,primary_occu_males,primary_occu_females,no_youngage_workingmembers,no_middleage_workingmembers,no_oldage_workingmembers,Dwelling_Nature,House_typology,Building level,Floors_above,Road_type,Road_width,Road_material,Category,Duration_stay,Age_house,House_Ownership,Fam_Type,Source_waterSupply,Distance_watersupply_source,Qlty_drinking_water_normal days,Water_Quality_monsoons,Quantity_drinking water_normal days,Quantity_drinking_water_during_flooding,Drinking_water_treatment,Issues_with_drinking_water_solved_by,Toilet_Facility,Dist_community_toilets,Sewage_Disposal_System,Drains_Situation,Drainage_channel_connected_to_city_network,Cleaning_agent,Frequency_of_drain_cleaning,If_naturally_howMuchTime,Electricity_Source,PowerCut_Frequency,Proficiency_digital_services,television,computer_laptop,internet_connectivity,radio,mobile,bi-cycle,motorised,no_assets,Health_Infra_Distance,Dist_to_bank,Garbage_collection_Authority,Garbage_Disposal_System,Garbage_dispsl_during_flood,Frequency_GarbageCollection_Nrml_days,Flood_events_experienced,Depth_water_logging,Water_removal_process,Evacuated_before,Dist_to_evacuated_area,Medical_conditions_during_ waterLogging,Loss_working_days_during_floods,Income_loss_per_day,Experience _with_flood,Financial_loss_due_to floods,income_category
southwest,4.0,35000.0,2.0,2.0,0.0,Graduate,Illiterate,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Raised on Columns,G + 2,Collector road,20-30 m,Cement roads,OBC,25-40,25-40,Owner,Nuclear,Municipal Corporation,1-2 kms,Good,Remains same,Ample,Remains same,Boiling,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,No,No,Yes,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,> 2 ft,Naturally,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,<2000,5.0
southwest,2.0,22000.0,1.0,1.0,0.0,Graduate,Primary,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Administrative / Clerks,0,1.0,0.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Cement roads,ST,10-25,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,Boiling,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,> 2 ft,Naturally,No,,Yes,1-3 Days,Negligible/<20%,25-40 years,<2000,6.0
south,3.0,29000.0,1.0,2.0,0.0,Primary,Secondary,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,Business / Trade Industry,0,0.0,0.0,1.0,Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,ST,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,Ample,Remains same,Boiling,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,No,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,1-1/2 ft,Naturally,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,<2000,5.0
southwest,5.0,7000.0,2.0,3.0,0.0,Higher Secondary,Higher Secondary,,1.0,0.0,1.0,3.0,0.0,2.0,0.0,Retail / Livestock Related,0,0.0,2.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,OBC,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,No Treatment,,Private,,Muncipal Connection,Absent,Connected,None,Weekly,<6 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,Yes,No,<1 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Daily,2,> 2 ft,Mechanically,No,,Yes,No loss,,25-40 years,No loss but a lot of inconvenience,7.0
southwest,7.0,15000.0,3.0,4.0,0.0,Higher Secondary,Higher Secondary,,1.0,1.0,1.0,3.0,1.0,3.0,0.0,Administrative / Clerks,0,1.0,1.0,1.0,Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,SC,25-40,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Boiling,,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,No,No,No,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,1-1/2 ft,Naturally,No,,Yes,No loss,,25-40 years,,7.0
southwest,3.0,35000.0,2.0,1.0,0.0,Graduate,Illiterate,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Apartments,Ground level,G + 2,Collector road,20-30 m,Bituminous roads,OBC,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,Filter,,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Not Available,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,> 2 ft,Naturally,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,<2000,5.0
southwest,1.0,30000.0,1.0,0.0,0.0,Graduate,Illiterate,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Government (state/central/private/retired),0,1.0,0.0,0.0,Pucca,Individual House,Ground level,G + 3,Sub-Arterial,30-40 m,Bituminous roads,SC,<10,<10,Tenant,Nuclear,Hand pump,< 1 km,Good,Remains same,Just Adequate,Remains same,Boiling,,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,1 ft,Naturally,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,<2000,5.0
southwest,3.0,50000.0,2.0,1.0,0.0,Graduate,Illiterate,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Light / Small scale industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,General,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,Just Adequate,Remains same,Others,,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,<1 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,> 2 ft,Naturally,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,<2000,4.0
southwest,3.0,70000.0,1.0,2.0,0.0,Primary,Higher Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,5-10 m,Bituminous roads,General,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Aquaguard,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,> 2 ft,Naturally,No,,No,No loss,Negligible/<20%,<10 years,<2000,3.0
southwest,4.0,66000.0,2.0,2.0,0.0,Graduate,Graduate,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,General,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,2,1 ft,Naturally,No,,No,No loss,Negligible/<20%,<10 years,<2000,3.0
