zone,house_hold_size,income,total_males,total_females,total_tg,highest_ed_males,highest_ed_females,highest_ed_tg,age_lt_6,age_7_to_14,age_15_to_29,age_30_to_59,age_gt_60,no_males_working,no_of_females_working,primary_occu_males,primary_occu_females,no_youngage_workingmembers,no_middleage_workingmembers,no_oldage_workingmembers,Dwelling_Nature,House_typology,Building level,Floors_above,Road_type,Road_width,Road_material,Category,Duration_stay,Age_house,House_Ownership,Fam_Type,Source_waterSupply,Distance_watersupply_source,Qlty_drinking_water_normal days,Water_Quality_monsoons,Quantity_drinking water_normal days,Quantity_drinking_water_during_flooding,Drinking_water_treatment,Issues_with_drinking_water_solved_by,Toilet_Facility,Dist_community_toilets,Sewage_Disposal_System,Drains_Situation,Drainage_channel_connected_to_city_network,Cleaning_agent,Frequency_of_drain_cleaning,If_naturally_howMuchTime,Electricity_Source,PowerCut_Frequency,Proficiency_digital_services,television,computer_laptop,internet_connectivity,radio,mobile,bi-cycle,motorised,no_assets,Health_Infra_Distance,Dist_to_bank,Garbage_collection_Authority,Garbage_Disposal_System,Garbage_dispsl_during_flood,Frequency_GarbageCollection_Nrml_days,Flood_events_experienced,Depth_water_logging,Water_removal_process,Evacuated_before,Dist_to_evacuated_area,Medical_conditions_during_ waterLogging,Loss_working_days_during_floods,Income_loss_per_day,Experience _with_flood,Financial_loss_due_to floods,income_category
east,4.0,7000.0,2.0,2.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,General,25-40,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Others,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,Yes,No,3-5 km,Not Available,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,Yes,<1 km,Yes,> 7 Days,>80%/almost full,10-25 years,<2000,7.0
east,6.0,15000.0,3.0,3.0,0.0,Secondary,Higher Secondary,,1.0,1.0,3.0,0.0,1.0,1.0,0.0,Retail / Livestock Related,0,1.0,0.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,General,10-25,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,No,Yes,Yes,No,3-5 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,3,6 inch or below,Naturally,Yes,1 - 3 km,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
east,5.0,9000.0,3.0,2.0,0.0,Secondary,Secondary,,2.0,0.0,2.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,General,10-25,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,Yes,No,Yes,No,3-5 km,Not Available,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
east,4.0,24000.0,3.0,1.0,0.0,Secondary,Primary,,0.0,0.0,2.0,1.0,1.0,2.0,1.0,Informal Job / Hawker,Informal Job / Hawker,1.0,1.0,1.0,Kuccha,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,25-40,25-40,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,Yes,Yes,Yes,No,3-5 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,Yes,<1 km,Yes,4-6 Days,40-60%,10-25 years,<2000,6.0
north,5.0,9000.0,3.0,2.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,1.0,4.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Bituminous roads,General,10-25,10-25,Owner,Joint,Community Tap,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,No,No,3-5 km,Not Available,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,6 inch or below,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
north,4.0,10000.0,2.0,2.0,0.0,Higher Secondary,Higher Secondary,,2.0,0.0,1.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Bituminous roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,No,No,3-5 km,Not Available,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,No,,No,4-6 Days,60-80%,10-25 years,<2000,7.0
north,4.0,15000.0,2.0,2.0,0.0,Graduate,Higher Secondary,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,1.0,0.0,0.0,Pucca,Squatter/Encroachment,Raised on Columns,G + 3,Sub-Arterial,30-40 m,Bituminous roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,No,,Yes,4-6 Days,>80%/almost full,10-25 years,<2000,7.0
central,3.0,8000.0,1.0,2.0,0.0,Primary,Higher Secondary,,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,1.0,0.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,,25-40,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,Yes,No,No,Yes,No,<1 km,3 - 5 kms,Municipal corporation,Community Bin,Spills out into flooded roads,Only when drains overflow and residents call,>5 & more,6 inch or below,Naturally,No,,Yes,4-6 Days,20-40%,10-25 years,<2000,7.0
central,4.0,15000.0,3.0,1.0,0.0,Higher Secondary,Primary,,0.0,0.0,2.0,1.0,1.0,1.0,0.0,Informal Job / Hawker,0,1.0,0.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,General,25-40,25-40,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,No,No,No,No,1-3 km,3 - 5 kms,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,>5 & more,1 ft,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
central,7.0,30000.0,3.0,4.0,0.0,Graduate,Higher Secondary,,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0,Business / Trade Industry,0.0,1.0,0.0,Kuccha,Individual House,Ground level,G only,Local roads,10-20 m,Cement roads,General,,25-40,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Contractors,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,No,Yes,Yes,No,<1 km,3 - 5 kms,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,>5 & more,1 ft,Naturally,No,,No,4-6 Days,40-60%,10-25 years,No loss but a lot of inconvenience,5.0
central,5.0,20000.0,4.0,1.0,0.0,Secondary,Higher Secondary,,0.0,0.0,3.0,2.0,0.0,2.0,0.0,Retail / Livestock Related,0,1.0,1.0,0.0,Kuccha,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,,25-40,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,No,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,>5 & more,6 inch or below,Naturally,No,,No,> 7 Days,>80%/almost full,10-25 years,No loss but a lot of inconvenience,6.0
west,4.0,10000.0,3.0,1.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,2.0,1.0,1.0,1.0,0.0,Retail / Livestock Related,0,0.0,0.0,1.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,General,25-40,25-40,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,>5 & more,1 ft,Naturally,No,,No,4-6 Days,40-60%,10-25 years,No loss but a lot of inconvenience,7.0
central,4.0,23000.0,1.0,3.0,0.0,Primary,Secondary,,0.0,1.0,1.0,2.0,0.0,1.0,1.0,Business / Trade Industry,Business / Trade Industry,0.0,2.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Bituminous roads,General,40-60,25-40,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,>5 & more,6 inch or below,Naturally,No,,Yes,4-6 Days,20-40%,10-25 years,No loss but a lot of inconvenience,6.0
central,4.0,18000.0,2.0,2.0,0.0,Higher Secondary,Higher Secondary,,0.0,1.0,1.0,2.0,0.0,2.0,0.0,Retail / Livestock Related,0,0.0,2.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,General,,25-40,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,No,No,No,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,>5 & more,1 ft,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,6.0
central,3.0,6000.0,1.0,2.0,0.0,Higher Secondary,Secondary,,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0,Government (state/central/private/retired),1.0,0.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,General,,<10,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,No,No,<1 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,>5 & more,1 ft,Naturally,No,,No,1-3 Days,>80%/almost full,10-25 years,,7.0
southwest,2.0,6000.0,1.0,1.0,0.0,Illiterate,Illiterate,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,General,,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,High,No Knowledge,Yes,No,Yes,No,Yes,Yes,No,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,1,6 inch or below,Naturally,No,,No,> 7 Days,>80%/almost full,10-25 years,<2000,7.0
east,4.0,8000.0,2.0,2.0,0.0,Higher Secondary,Graduate,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,SC,,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Remains same,,Collectively as a community,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,4,6 inch or below,Naturally,Yes,3 - 5 km,Yes,4-6 Days,>80%/almost full,10-25 years,2000-6000,7.0
southwest,2.0,12000.0,2.0,0.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,1.0,1.0,0.0,2.0,0.0,Informal Job / Hawker,0,1.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Others,Collectively as a community,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,High,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,1,1 ft,Naturally,No,,No,> 7 Days,>80%/almost full,10-25 years,<2000,7.0
central,3.0,40000.0,1.0,2.0,0.0,Graduate,Higher Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Raised on Columns,G + 2,Local roads,5-10 m,Cement roads,SC,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,Boiling,Collectively as a community,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,<1 km,Not Available,Municipal corporation,Road side dumping picked by NMC,Same as normal days,Weekly,Every monsoon,1 ft,Naturally,No,,Yes,No loss,Negligible/<20%,10-25 years,<2000,4.0
southwest,2.0,50000.0,1.0,1.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Apartments,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,10-25,,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Filter,,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Monthly,6-12 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Weekly,2,1 ft,Mechanically,No,,No,No loss,Negligible/<20%,10-25 years,10000-15000,4.0
west,4.0,57000.0,2.0,2.0,0.0,Higher Secondary,Graduate,,0.0,0.0,0.0,3.0,1.0,2.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),0.0,2.0,1.0,Pucca,Individual House,Ground level,G only,Local roads,10-20 m,Bituminous roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Others,Only few people take initiative,Private,,Muncipal Connection,Absent,Connected,Municipal corporation,,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,Yes,No,No,1-3 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Weekly,1,6 inch or below,Naturally,No,,No,1-3 Days,Negligible/<20%,<10 years,<2000,3.0
central,17.0,40000.0,0.0,0.0,17.0,Illiterate,Illiterate,Primary,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0,0,9.0,7.0,1.0,Semi-Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Earthen roads,OBC,10-25,10-25,Tenant,Nuclear,Municipal Corporation,< 1 km,Bad,Worsens,Just Adequate,Less / No Supply,No Treatment,,Private,,Muncipal Connection,Absent,Unaware,None,Monthly,12 Hours - 1 Day,Municipal Corporation,High,Intermediate,Yes,No,Yes,No,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Put in pits and burnt,Others,Never,Every monsoon,1 ft,Naturally,No,,Yes,> 7 Days,>80%/almost full,25-40 years,6000-10000,4.0
west,4.0,250000.0,2.0,2.0,0.0,Graduate,Graduate,,0.0,0.0,0.0,4.0,0.0,2.0,1.0,Business / Trade Industry,Business / Trade Industry,0.0,3.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Cement roads,General,25-40,25-40,Owner,Joint,Municipal Corporation,,Good,Remains same,Ample,Remains same,Aquaguard,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly (Before monsoons),6-12 Hours,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,1-1/2 ft,Manually,No,,No,No loss,No loss,<10 years,>15000,1.0
north,6.0,100000.0,2.0,4.0,0.0,Graduate,Higher Secondary,,1.0,1.0,0.0,3.0,1.0,1.0,0.0,Business / Trade Industry,0,0.0,0.0,1.0,Pucca,Individual House,Raised on Columns,G + 2,Local roads,5-10 m,Cement roads,General,25-40,25-40,Owner,Joint,Municipal Corporation,,Satisfactory,Worsens,Ample,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Contractors,Never,6-12 Hours,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Remains dumped- no pick up,Daily,>5 & more,1 ft,Mechanically,No,,No,No loss,,<10 years,No loss but a lot of inconvenience,2.0
north,4.0,0.0,2.0,2.0,0.0,Graduate,Graduate,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,Pucca,Squatter/Encroachment,Ground level,G + 2,Collector road,20-30 m,Cement roads,General,25-40,10-25,Owner,Nuclear,Municipal Corporation,,Satisfactory,Worsens,Ample,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Contractors,Only when drains overflow,6-12 Hours,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,Yes,Yes,No,No,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Daily,4,1 ft,Manually,No,,No,No loss,No loss,<10 years,No loss but a lot of inconvenience,8.0
southwest,4.0,18000.0,1.0,3.0,0.0,Primary,Secondary,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,25-40,25-40,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Chemicals,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Never,6-12 Hours,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,4,1 ft,Naturally,No,,No,1-3 Days,40-60%,10-25 years,No loss but a lot of inconvenience,6.0
east,4.0,50000.0,2.0,2.0,0.0,Secondary,Higher Secondary,,2.0,0.0,1.0,1.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,5-10 m,Bituminous roads,ST,25-40,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,No,Yes,Yes,No,<1 km,3 - 5 kms,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,3,1-1/2 ft,Naturally,No,,No,1-3 Days,40-60%,10-25 years,No loss but a lot of inconvenience,4.0
east,4.0,32000.0,2.0,2.0,0.0,Primary,Higher Secondary,,0.0,0.0,0.0,3.0,1.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,1.0,1.0,Kuccha,Individual House,Ground level,G only,Collector road,20-30 m,Cement roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,6 inch or below,Naturally,Yes,<1 km,No,4-6 Days,40-60%,<10 years,<2000,5.0
south,4.0,65000.0,1.0,3.0,0.0,Higher Secondary,Higher Secondary,,0.0,2.0,0.0,2.0,0.0,1.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Bituminous roads,OBC,<10,10-25,Owner,Nuclear,Municipal Corporation,,Good,Worsens,Inadequate,Less / No Supply,Chemicals,City administration,Private,,Muncipal Connection,Covered,Not Connected,Residents,Monthly,<6 Hours,Municipal Corporation,High,Intermediate,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,3,1 ft,Manually,No,,Yes,1-3 Days,>80%/almost full,<10 years,<2000,3.0
north,3.0,36000.0,1.0,2.0,0.0,Secondary,Graduate,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,5-10 m,Bituminous roads,OBC,25-40,25-40,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,,Less / No Supply,Boiling,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Monthly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,No,Yes,No,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,2,6 inch or below,Naturally,No,,Yes,4-6 Days,40-60%,<10 years,2000-6000,4.0
south,3.0,10000.0,1.0,2.0,0.0,Secondary,Higher Secondary,,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,1.0,0.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Bituminous roads,Others,10-25,<10,Owner,Nuclear,Municipal Corporation,,Satisfactory,Worsens,Just Adequate,Less / No Supply,Boiling,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Monthly,<6 Hours,Municipal Corporation,High,No Knowledge,Yes,No,No,No,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Manually,No,,No,1-3 Days,20-40%,<10 years,2000-6000,7.0
west,4.0,25000.0,3.0,1.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,3.0,1.0,0.0,1.0,0.0,Business / Trade Industry,0,1.0,0.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G + 2,Sub-Arterial,30-40 m,Bituminous roads,General,40-60,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,Inadequate,Less / No Supply,Boiling,City administration,Private,,Muncipal Connection,Covered,Connected,Residents,Yearly (Before monsoons),<6 Hours,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,Yes,Yes,Yes,No,Yes,No,> 5 kms,1-3 km,Municipal corporation,Road side dumping picked by NMC,Remains dumped- no pick up,Never,4,1-1/2 ft,Manually,No,,No,4-6 Days,40-60%,<10 years,No loss but a lot of inconvenience,6.0
east,5.0,12000.0,3.0,2.0,0.0,Higher Secondary,Secondary,,1.0,2.0,0.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,SC,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,6 inch or below,Manually,No,,No,1-3 Days,40-60%,10-25 years,<2000,7.0
central,3.0,40000.0,1.0,2.0,0.0,Graduate,Graduate,,1.0,0.0,2.0,0.0,0.0,1.0,0.0,Government (state/central/private/retired),0,1.0,0.0,0.0,Pucca,Individual House,Ground level,G + 4,Sub-Arterial,30-40 m,Bituminous roads,OBC,10-25,10-25,Owner,Nuclear,Municipal Corporation,,Good,Remains same,Just Adequate,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3-5 km,3 - 5 kms,Municipal corporation,Community Bin,Same as normal days,Only when drains overflow and residents call,4,1 ft,Naturally,No,,No,1-3 Days,,<10 years,No loss but a lot of inconvenience,4.0
